point_id,survey_no,latitude,longitude,accuracy_m
GNSS_00001,200/1,11.0029754,76.9518833,0.032
GNSS_00002,200/1,11.0029664,76.9520446,0.028
GNSS_00003,200/1,11.0029777,76.9522008,0.025
GNSS_00004,200/1,11.0030755,76.9522217,0.027
GNSS_00005,200/1,11.0032039,76.9522244,0.02
GNSS_00006,200/1,11.0032236,76.9520594,0.03
GNSS_00007,200/1,11.0032487,76.951892,0.028
GNSS_00008,200/1,11.0031226,76.9518949,0.032
GNSS_00009,201/2,11.0029777,76.9522008,0.034
GNSS_00010,201/2,11.0029826,76.952346,0.019
GNSS_00011,201/2,11.0029799,76.9525181,0.02
GNSS_00012,201/2,11.0030838,76.952495,0.04
GNSS_00013,201/2,11.0032254,76.9525008,0.034
GNSS_00014,201/2,11.0032064,76.9523708,0.036
GNSS_00015,201/2,11.0032039,76.9522244,0.024
GNSS_00016,201/2,11.0030755,76.9522217,0.024
GNSS_00017,184/2,11.0029653,76.9525039,0.026
GNSS_00018,184/2,11.0029863,76.9527065,0.043
GNSS_00019,184/2,11.0029677,76.9528786,0.024
GNSS_00020,184/2,11.0031343,76.9529177,0.023
GNSS_00021,184/2,11.0033106,76.952917,0.038
GNSS_00022,184/2,11.003267,76.9526855,0.038
GNSS_00023,184/2,11.0032557,76.9524834,0.038
GNSS_00024,184/2,11.0030883,76.9524767,0.043
GNSS_00025,203/4,11.0029819,76.9528349,0.043
GNSS_00026,203/4,11.0029892,76.9529854,0.033
GNSS_00027,203/4,11.0029837,76.953151,0.039
GNSS_00028,203/4,11.0031042,76.9531821,0.028
GNSS_00029,203/4,11.0032147,76.9531993,0.032
GNSS_00030,203/4,11.0032331,76.9530206,0.028
GNSS_00031,203/4,11.0032719,76.9528673,0.025
GNSS_00032,203/4,11.0031228,76.9528679,0.032
GNSS_00033,204/1,11.0029837,76.953151,0.038
GNSS_00034,204/1,11.0029691,76.9533173,0.039
GNSS_00035,204/1,11.0029851,76.9534663,0.027
GNSS_00036,204/1,11.0031015,76.9534767,0.023
GNSS_00037,204/1,11.0032099,76.9534613,0.026
GNSS_00038,204/1,11.0032132,76.9533495,0.019
GNSS_00039,204/1,11.0032147,76.9531993,0.041
GNSS_00040,204/1,11.0031042,76.9531821,0.038
GNSS_00041,205/2,11.0029851,76.9534663,0.034
GNSS_00042,205/2,11.0029954,76.9536074,0.029
GNSS_00043,205/2,11.0029861,76.9537807,0.022
GNSS_00044,205/2,11.0031157,76.9537765,0.027
GNSS_00045,205/2,11.0032574,76.9537516,0.028
GNSS_00046,205/2,11.0032238,76.9535941,0.041
GNSS_00047,205/2,11.0032099,76.9534613,0.031
GNSS_00048,205/2,11.0031015,76.9534767,0.036
GNSS_00049,206/3,11.0029861,76.9537807,0.031
GNSS_00050,206/3,11.0030039,76.953922,0.038
GNSS_00051,206/3,11.0029867,76.9540939,0.038
GNSS_00052,206/3,11.0031006,76.9540682,0.03
GNSS_00053,206/3,11.003227,76.954042,0.038
GNSS_00054,206/3,11.003234,76.9538982,0.028
GNSS_00055,206/3,11.0032574,76.9537516,0.022
GNSS_00056,206/3,11.0031157,76.9537765,0.033
GNSS_00057,207/4,11.0029867,76.9540939,0.035
GNSS_00058,207/4,11.0029822,76.954247,0.02
GNSS_00059,207/4,11.0029869,76.954406,0.019
GNSS_00060,207/4,11.003142,76.954399,0.041
GNSS_00061,207/4,11.0032607,76.9544209,0.044
GNSS_00062,207/4,11.0032304,76.9542394,0.036
GNSS_00063,207/4,11.003227,76.954042,0.039
