survey_no,subdivision_no,owner_ref,area,land_use,status
200,1,IND-TN-CBE-1000,1005.7,Institutional,Active
201,2,IND-TN-CBE-1001,787.7,Commercial,Active
184,2,IND-TN-CBE-1002,1520.0,Agricultural,Active
203,4,IND-TN-CBE-1003,977.7,Industrial,Active
204,1,IND-TN-CBE-1004,838.7,Mixed Use,Active
205,2,IND-TN-CBE-1005,879.9,Residential,Active
206,3,IND-TN-CBE-1006,863.5,Industrial,Active
207,4,IND-TN-CBE-1007,1032.5,Industrial,Disputed
208,1,IND-TN-CBE-1008,977.4,Industrial,Active
209,2,IND-TN-CBE-1009,938.1,Residential,Active
210,3,IND-TN-CBE-1010,898.0,Commercial,Active
211,4,IND-TN-CBE-1011,884.1,Institutional,Active
212,1,IND-TN-CBE-1012,923.1,Mixed Use,Active
213,2,IND-TN-CBE-1013,769.9,Residential,Active
214,3,IND-TN-CBE-1014,1100.1,Commercial,Active
215,4,IND-TN-CBE-1015,1006.3,Mixed Use,Active
216,1,IND-TN-CBE-1016,1095.8,Commercial,Active
217,2,IND-TN-CBE-1017,1011.3,Agricultural,Active
218,3,IND-TN-CBE-1018,1096.4,Mixed Use,Active
219,4,IND-TN-CBE-1019,971.7,Commercial,Active
220,1,IND-TN-CBE-1020,1264.7,Mixed Use,Active
221,2,IND-TN-CBE-1021,1078.1,Mixed Use,Active
222,3,IND-TN-CBE-1022,950.4,Mixed Use,Active
223,4,IND-TN-CBE-1023,939.2,Institutional,Active
224,1,IND-TN-CBE-1024,1008.6,Institutional,Active
225,2,IND-TN-CBE-1025,1160.4,Residential,Active
226,3,IND-TN-CBE-1026,957.8,Industrial,Active
227,4,IND-TN-CBE-1027,1218.7,Industrial,Active
228,1,IND-TN-CBE-1028,1110.3,Industrial,Disputed
229,2,IND-TN-CBE-1029,1118.2,Institutional,Active
230,3,IND-TN-CBE-1030,1093.9,Mixed Use,Active
231,4,IND-TN-CBE-1031,1158.7,Mixed Use,Active
232,1,IND-TN-CBE-1032,1221.3,Industrial,Active
233,2,IND-TN-CBE-1033,1091.8,Residential,Active
234,3,IND-TN-CBE-1034,981.5,Institutional,Active
235,4,IND-TN-CBE-1035,791.1,Agricultural,Active
236,1,IND-TN-CBE-1036,857.5,Residential,Active
237,2,IND-TN-CBE-1037,1116.4,Commercial,Active
238,3,IND-TN-CBE-1038,1030.6,Institutional,Active
239,4,IND-TN-CBE-1039,894.6,Commercial,Active
240,1,IND-TN-CBE-1040,1117.4,Institutional,Active
241,2,IND-TN-CBE-1041,865.8,Agricultural,Active
242,3,IND-TN-CBE-1042,1011.7,Industrial,Active
243,4,IND-TN-CBE-1043,1116.3,Institutional,Active
244,1,IND-TN-CBE-1044,1116.0,Mixed Use,Active
245,2,IND-TN-CBE-1045,1286.0,Mixed Use,Active
246,3,IND-TN-CBE-1046,777.4,Agricultural,Active
247,4,IND-TN-CBE-1047,877.8,Institutional,Active
248,1,IND-TN-CBE-1048,1048.0,Industrial,Active
249,2,IND-TN-CBE-1049,693.2,Industrial,Active
250,3,IND-TN-CBE-1050,1155.4,Residential,Active
251,4,IND-TN-CBE-1051,1221.5,Industrial,Active
252,1,IND-TN-CBE-1052,723.1,Residential,Active
253,2,IND-TN-CBE-1053,1153.0,Industrial,Active
254,3,IND-TN-CBE-1054,804.0,Residential,Active
255,4,IND-TN-CBE-1055,1197.9,Industrial,Active
256,1,IND-TN-CBE-1056,1081.1,Commercial,Active
257,2,IND-TN-CBE-1057,1157.4,Institutional,Active
258,3,IND-TN-CBE-1058,798.3,Mixed Use,Active
259,4,IND-TN-CBE-1059,1007.8,Institutional,Active
260,1,IND-TN-CBE-1060,1257.2,Commercial,Active
261,2,IND-TN-CBE-1061,948.5,Industrial,Active
262,3,IND-TN-CBE-1062,1225.2,Residential,Active
263,4,IND-TN-CBE-1063,900.8,Mixed Use,Active
264,1,IND-TN-CBE-1064,987.8,Residential,Active
265,2,IND-TN-CBE-1065,957.3,Agricultural,Active
266,3,IND-TN-CBE-1066,948.9,Commercial,Active
267,4,IND-TN-CBE-1067,1363.7,Commercial,Active
268,1,IND-TN-CBE-1068,1044.6,Commercial,Active
269,2,IND-TN-CBE-1069,1001.5,Industrial,Active
270,3,IND-TN-CBE-1070,1090.3,Institutional,Active
271,4,IND-TN-CBE-1071,964.5,Industrial,Active
272,1,IND-TN-CBE-1072,805.8,Commercial,Active
273,2,IND-TN-CBE-1073,972.9,Mixed Use,Active
274,3,IND-TN-CBE-1074,925.9,Agricultural,Active
275,4,IND-TN-CBE-1075,1035.7,Commercial,Active
276,1,IND-TN-CBE-1076,944.4,Residential,Active
277,2,IND-TN-CBE-1077,932.6,Commercial,Active
278,3,IND-TN-CBE-1078,1241.8,Institutional,Active
279,4,IND-TN-CBE-1079,966.0,Institutional,Active
280,1,IND-TN-CBE-1080,1023.0,Agricultural,Active
281,2,IND-TN-CBE-1081,704.4,Commercial,Active
282,3,IND-TN-CBE-1082,955.0,Mixed Use,Active
283,4,IND-TN-CBE-1083,1033.7,Institutional,Active
284,1,IND-TN-CBE-1084,930.4,Commercial,Active
285,2,IND-TN-CBE-1085,1039.5,Commercial,Active
286,3,IND-TN-CBE-1086,1106.0,Agricultural,Active
