Centre ID,Centre Name,District,Agency,Daily Footfall,Status,Latitude,Longitude
ESV-TN-0001,e-Sevai Centre - Chennai Centre #1,Chennai,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,13.0527,80.2407
ESV-TN-0002,e-Sevai Centre - Chennai Centre #2,Chennai,PACCS / VLE,165,Active,13.0677,80.2587
ESV-TN-0003,e-Sevai Centre - Chennai Centre #3,Chennai,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,13.0827,80.2767
ESV-TN-0004,e-Sevai Centre - Chennai Centre #4,Chennai,PACCS / VLE,215,Active,13.0977,80.2947
ESV-TN-0005,e-Sevai Centre - Chennai Centre #5,Chennai,TACTV (Tamil Nadu Arasu Cable TV Corporation),240,Active,13.1127,80.3127
ESV-TN-0006,e-Sevai Centre - Chennai Centre #6,Chennai,PACCS / VLE,265,Active,13.1277,80.3307
ESV-TN-0007,e-Sevai Centre - Coimbatore Centre #1,Coimbatore,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,10.9868,76.9258
ESV-TN-0008,e-Sevai Centre - Coimbatore Centre #2,Coimbatore,PACCS / VLE,165,Active,11.0018,76.9438
ESV-TN-0009,e-Sevai Centre - Coimbatore Centre #3,Coimbatore,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,11.0168,76.9618
ESV-TN-0010,e-Sevai Centre - Coimbatore Centre #4,Coimbatore,PACCS / VLE,215,Active,11.0318,76.9798
ESV-TN-0011,e-Sevai Centre - Coimbatore Centre #5,Coimbatore,TACTV (Tamil Nadu Arasu Cable TV Corporation),240,Active,11.0468,76.9978
ESV-TN-0012,e-Sevai Centre - Coimbatore Centre #6,Coimbatore,PACCS / VLE,265,Active,11.0618,77.0158
ESV-TN-0013,e-Sevai Centre - Madurai Centre #1,Madurai,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,9.8952,78.0898
ESV-TN-0014,e-Sevai Centre - Madurai Centre #2,Madurai,PACCS / VLE,165,Active,9.9102,78.1078
ESV-TN-0015,e-Sevai Centre - Madurai Centre #3,Madurai,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,9.9252,78.1258
ESV-TN-0016,e-Sevai Centre - Madurai Centre #4,Madurai,PACCS / VLE,215,Active,9.9402,78.1438
ESV-TN-0017,e-Sevai Centre - Madurai Centre #5,Madurai,TACTV (Tamil Nadu Arasu Cable TV Corporation),240,Active,9.9552,78.1618
ESV-TN-0018,e-Sevai Centre - Madurai Centre #6,Madurai,PACCS / VLE,265,Active,9.9702,78.1798
ESV-TN-0019,e-Sevai Centre - Tiruchirappalli Centre #1,Tiruchirappalli,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,10.7605,78.6747
ESV-TN-0020,e-Sevai Centre - Tiruchirappalli Centre #2,Tiruchirappalli,PACCS / VLE,165,Active,10.7755,78.6927
ESV-TN-0021,e-Sevai Centre - Tiruchirappalli Centre #3,Tiruchirappalli,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,10.7905,78.7107
ESV-TN-0022,e-Sevai Centre - Tiruchirappalli Centre #4,Tiruchirappalli,PACCS / VLE,215,Active,10.8055,78.7287
ESV-TN-0023,e-Sevai Centre - Salem Centre #1,Salem,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,11.6343,78.116
ESV-TN-0024,e-Sevai Centre - Salem Centre #2,Salem,PACCS / VLE,165,Active,11.6493,78.134
ESV-TN-0025,e-Sevai Centre - Salem Centre #3,Salem,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,11.6643,78.152
ESV-TN-0026,e-Sevai Centre - Salem Centre #4,Salem,PACCS / VLE,215,Active,11.6793,78.17
ESV-TN-0027,e-Sevai Centre - Tiruppur Centre #1,Tiruppur,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,11.0785,77.3111
ESV-TN-0028,e-Sevai Centre - Tiruppur Centre #2,Tiruppur,PACCS / VLE,165,Active,11.0935,77.3291
ESV-TN-0029,e-Sevai Centre - Tiruppur Centre #3,Tiruppur,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,11.1085,77.3471
ESV-TN-0030,e-Sevai Centre - Tiruppur Centre #4,Tiruppur,PACCS / VLE,215,Active,11.1235,77.3651
ESV-TN-0031,e-Sevai Centre - Erode Centre #1,Erode,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,11.311,77.6872
ESV-TN-0032,e-Sevai Centre - Erode Centre #2,Erode,PACCS / VLE,165,Active,11.326,77.7052
ESV-TN-0033,e-Sevai Centre - Erode Centre #3,Erode,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,11.341,77.7232
ESV-TN-0034,e-Sevai Centre - Erode Centre #4,Erode,PACCS / VLE,215,Active,11.356,77.7412
ESV-TN-0035,e-Sevai Centre - Tirunelveli Centre #1,Tirunelveli,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,8.6839,77.7267
ESV-TN-0036,e-Sevai Centre - Tirunelveli Centre #2,Tirunelveli,PACCS / VLE,165,Active,8.6989,77.7447
ESV-TN-0037,e-Sevai Centre - Tirunelveli Centre #3,Tirunelveli,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,8.7139,77.7627
ESV-TN-0038,e-Sevai Centre - Tirunelveli Centre #4,Tirunelveli,PACCS / VLE,215,Active,8.7289,77.7807
ESV-TN-0039,e-Sevai Centre - Vellore Centre #1,Vellore,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,12.8865,79.1025
ESV-TN-0040,e-Sevai Centre - Vellore Centre #2,Vellore,PACCS / VLE,165,Active,12.9015,79.1205
ESV-TN-0041,e-Sevai Centre - Vellore Centre #3,Vellore,TACTV (Tamil Nadu Arasu Cable TV Corporation),190,Active,12.9165,79.1385
ESV-TN-0042,e-Sevai Centre - Vellore Centre #4,Vellore,PACCS / VLE,215,Active,12.9315,79.1565
ESV-TN-0043,e-Sevai Centre - Thoothukudi Centre #1,Thoothukudi,TACTV (Tamil Nadu Arasu Cable TV Corporation),140,Active,8.7342,78.1048
ESV-TN-0044,e-Sevai Centre - Thoothukudi Centre #2,Thoothukudi,PACCS / VLE,165,Active,8.7492,78.1228
