District Code,District Name,Total SC Population,SC Male,SC Female,SC Literacy Rate,SC Rural Percentage,SC Urban Percentage
TN-01,Chennai,662584,329966,332618,84.77,64.2,35.8
TN-02,Coimbatore,535496,266677,268819,78.94,64.2,35.8
TN-03,Madurai,408480,203423,205057,78.44,64.2,35.8
TN-04,Tiruchirappalli,466847,232489,234358,78.24,64.2,35.8
TN-05,Salem,579893,288786,291107,68.49,64.2,35.8
TN-06,Tiruppur,396015,197215,198800,73.96,64.2,35.8
TN-07,Erode,369803,184161,185642,68.23,64.2,35.8
TN-08,Tirunelveli,284126,141494,142632,77.55,64.2,35.8
TN-09,Vellore,352104,175347,176757,74.42,64.2,35.8
TN-10,Thoothukudi,348120,173363,174757,80.99,64.2,35.8
TN-11,Thanjavur,455060,226619,228441,77.68,64.2,35.8
TN-12,Dindigul,452140,225165,226975,71.68,64.2,35.8
TN-13,Kanchipuram,282405,140637,141768,79.42,64.2,35.8
TN-14,Tiruvallur,821190,408952,412238,78.99,64.2,35.8
TN-15,Cuddalore,763914,380429,383485,73.36,64.2,35.8
TN-16,Viluppuram,586320,291987,294333,67.57,64.2,35.8
TN-17,Tiruvannamalai,565240,281489,283751,69.76,64.2,35.8
TN-18,Dharmapuri,245210,122114,123096,64.43,64.2,35.8
TN-19,Krishnagiri,267320,133125,134195,67.17,64.2,35.8
TN-20,Namakkal,345120,171869,173251,70.15,64.2,35.8
TN-21,Nilgiris,235840,117448,118392,80.09,64.2,35.8
TN-22,Kanyakumari,74210,36956,37254,86.24,64.2,35.8
