District Code,District Name,Total Persons,SC Population,SC Percentage,ST Population,ST Percentage,Combined SC/ST Population,Combined Percentage
TN-01,Chennai,4646732,662584,14.26,10227,0.22,672811,14.48
TN-02,Coimbatore,3458045,535496,15.49,28342,0.82,563838,16.31
TN-03,Madurai,3038252,408480,13.44,11202,0.37,419682,13.81
TN-04,Tiruchirappalli,2722290,466847,17.15,18236,0.67,485083,17.82
TN-05,Salem,3482056,579893,16.65,119369,3.43,699262,20.08
TN-06,Tiruppur,2479052,396015,15.97,5427,0.22,401442,16.19
TN-07,Erode,2251744,369803,16.42,22002,0.98,391805,17.4
TN-08,Tirunelveli,1665253,284126,17.06,5410,0.32,289536,17.39
TN-09,Vellore,1614242,352104,21.81,19482,1.21,371586,23.02
TN-10,Thoothukudi,1750176,348120,19.89,4902,0.28,353022,20.17
TN-11,Thanjavur,2405890,455060,18.91,3680,0.15,458740,19.07
TN-12,Dindigul,2159775,452140,20.93,8214,0.38,460354,21.31
TN-13,Kanchipuram,1166401,282405,24.21,16420,1.41,298825,25.62
TN-14,Tiruvallur,3728104,821190,22.03,47210,1.27,868400,23.29
TN-15,Cuddalore,2605914,763914,29.31,15420,0.59,779334,29.91
TN-16,Viluppuram,2092700,586320,28.02,48120,2.3,634440,30.32
TN-17,Tiruvannamalai,2464875,565240,22.93,91240,3.7,656480,26.63
TN-18,Dharmapuri,1506843,245210,16.27,63210,4.19,308420,20.47
TN-19,Krishnagiri,1879809,267320,14.22,22140,1.18,289460,15.4
TN-20,Namakkal,1726601,345120,19.99,57840,3.35,402960,23.34
TN-21,Nilgiris,735394,235840,32.07,32813,4.46,268653,36.53
TN-22,Kanyakumari,1870374,74210,3.97,7820,0.42,82030,4.39
