District Code,District Name,Total ST Population,ST Male,ST Female,Prominent Tribal Groups,ST Literacy Rate,Forest Area Pct
TN-01,Chennai,10227,5164,5063,"Irular, Malayali, Toda, Kota, Kurumbas",70.34,21.4
TN-02,Coimbatore,28342,14312,14030,"Irular, Malayali, Toda, Kota, Kurumbas",65.5,21.4
TN-03,Madurai,11202,5657,5545,"Irular, Malayali, Toda, Kota, Kurumbas",65.09,21.4
TN-04,Tiruchirappalli,18236,9209,9027,"Irular, Malayali, Toda, Kota, Kurumbas",64.92,21.4
TN-05,Salem,119369,60281,59088,"Irular, Malayali, Toda, Kota, Kurumbas",56.83,21.4
TN-06,Tiruppur,5427,2740,2687,"Irular, Malayali, Toda, Kota, Kurumbas",61.37,21.4
TN-07,Erode,22002,11111,10891,"Irular, Malayali, Toda, Kota, Kurumbas",56.61,21.4
TN-08,Tirunelveli,5410,2732,2678,"Irular, Malayali, Toda, Kota, Kurumbas",64.35,21.4
TN-09,Vellore,19482,9838,9644,"Irular, Malayali, Toda, Kota, Kurumbas",61.75,21.4
TN-10,Thoothukudi,4902,2475,2427,"Irular, Malayali, Toda, Kota, Kurumbas",67.2,21.4
TN-11,Thanjavur,3680,1858,1822,"Irular, Malayali, Toda, Kota, Kurumbas",64.46,21.4
TN-12,Dindigul,8214,4148,4066,"Irular, Malayali, Toda, Kota, Kurumbas",59.48,21.4
TN-13,Kanchipuram,16420,8292,8128,"Irular, Malayali, Toda, Kota, Kurumbas",65.9,21.4
TN-14,Tiruvallur,47210,23841,23369,"Irular, Malayali, Toda, Kota, Kurumbas",65.54,21.4
TN-15,Cuddalore,15420,7787,7633,"Irular, Malayali, Toda, Kota, Kurumbas",60.87,21.4
TN-16,Viluppuram,48120,24300,23820,"Irular, Malayali, Toda, Kota, Kurumbas",56.07,21.4
TN-17,Tiruvannamalai,91240,46076,45164,"Irular, Malayali, Toda, Kota, Kurumbas",57.88,21.4
TN-18,Dharmapuri,63210,31921,31289,"Irular, Malayali, Toda, Kota, Kurumbas",53.46,21.4
TN-19,Krishnagiri,22140,11180,10960,"Irular, Malayali, Toda, Kota, Kurumbas",55.74,21.4
TN-20,Namakkal,57840,29209,28631,"Irular, Malayali, Toda, Kota, Kurumbas",58.21,21.4
TN-21,Nilgiris,32813,16570,16243,"Irular, Malayali, Toda, Kota, Kurumbas",66.46,21.4
TN-22,Kanyakumari,7820,3949,3871,"Irular, Malayali, Toda, Kota, Kurumbas",71.56,21.4
