point_id,survey_no,latitude,longitude,accuracy_m
GNSS_00001,200/1,18.590854,73.7378182,0.041
GNSS_00002,200/1,18.5908539,73.7380089,0.022
GNSS_00003,200/1,18.5908417,73.7381843,0.044
GNSS_00004,200/1,18.5910072,73.7381875,0.02
GNSS_00005,200/1,18.5911536,73.7381818,0.023
GNSS_00006,200/1,18.5911446,73.7378241,0.034
GNSS_00007,201/2,18.5908482,73.7382481,0.035
GNSS_00008,201/2,18.5908199,73.7384189,0.03
GNSS_00009,201/2,18.590848,73.7386104,0.043
GNSS_00010,201/2,18.5909963,73.7386006,0.043
GNSS_00011,201/2,18.5911501,73.7386107,0.018
GNSS_00012,201/2,18.5911632,73.7382426,0.035
GNSS_00013,184/2,18.5908405,73.7386782,0.045
GNSS_00014,184/2,18.5908405,73.7390648,0.02
GNSS_00015,184/2,18.5911811,73.7390648,0.024
GNSS_00016,184/2,18.5911811,73.7386782,0.025
GNSS_00017,203/4,18.5908521,73.7390951,0.033
GNSS_00018,203/4,18.5908271,73.7392853,0.025
GNSS_00019,203/4,18.5908494,73.7394708,0.034
GNSS_00020,203/4,18.5910049,73.7394675,0.037
GNSS_00021,203/4,18.5911555,73.7394584,0.023
GNSS_00022,203/4,18.5911427,73.7391092,0.035
GNSS_00023,204/1,18.5908491,73.7395204,0.022
GNSS_00024,204/1,18.5908353,73.7397148,0.019
GNSS_00025,204/1,18.5908414,73.7398862,0.028
GNSS_00026,204/1,18.5909948,73.7398884,0.033
GNSS_00027,204/1,18.5911561,73.7398882,0.03
GNSS_00028,204/1,18.5911617,73.7395296,0.019
GNSS_00029,205/2,18.5908426,73.7399629,0.019
GNSS_00030,205/2,18.5908185,73.7401315,0.038
GNSS_00031,205/2,18.5908529,73.7403215,0.027
GNSS_00032,205/2,18.5910018,73.740326,0.043
GNSS_00033,205/2,18.5911595,73.7403102,0.04
GNSS_00034,205/2,18.5911732,73.7399623,0.041
GNSS_00035,206/3,18.5908525,73.7403896,0.035
GNSS_00036,206/3,18.5908579,73.7405583,0.029
GNSS_00037,206/3,18.5908441,73.7407429,0.044
GNSS_00038,206/3,18.5909958,73.7407599,0.032
GNSS_00039,206/3,18.5911483,73.7407351,0.043
GNSS_00040,206/3,18.5911444,73.7403798,0.021
GNSS_00041,207/4,18.590846,73.740803,0.038
GNSS_00042,207/4,18.5908541,73.7409946,0.036
GNSS_00043,207/4,18.5908472,73.7411728,0.028
GNSS_00044,207/4,18.5910012,73.7411864,0.02
GNSS_00045,207/4,18.5911562,73.7411664,0.036
GNSS_00046,207/4,18.591151,73.7408011,0.027
GNSS_00047,208/1,18.5908496,73.7412375,0.024
GNSS_00048,208/1,18.5908382,73.7414146,0.039
GNSS_00049,208/1,18.5908423,73.7415991,0.034
GNSS_00050,208/1,18.5909982,73.7415868,0.027
GNSS_00051,208/1,18.591148,73.7416026,0.03
GNSS_00052,208/1,18.5911659,73.7412386,0.036
GNSS_00053,209/2,18.5908407,73.7416586,0.02
GNSS_00054,209/2,18.5908458,73.7418452,0.029
GNSS_00055,209/2,18.5908519,73.7420223,0.035
GNSS_00056,209/2,18.5910026,73.7420451,0.023
GNSS_00057,209/2,18.5911484,73.7420203,0.037
GNSS_00058,209/2,18.5911597,73.741656,0.031
GNSS_00059,210/3,18.5908529,73.7420983,0.027
GNSS_00060,210/3,18.5908541,73.7422772,0.038
GNSS_00061,210/3,18.59085,73.742458,0.03
GNSS_00062,210/3,18.5910009,73.742459,0.04
GNSS_00063,210/3,18.5911472,73.74246,0.042
GNSS_00064,210/3,18.5911666,73.7420851,0.03
GNSS_00065,211/4,18.5908509,73.7425181,0.028
GNSS_00066,211/4,18.5908416,73.7427055,0.022
GNSS_00067,211/4,18.5908468,73.7428847,0.024
GNSS_00068,211/4,18.5909991,73.7428621,0.029
GNSS_00069,211/4,18.5911489,73.7428836,0.027
GNSS_00070,211/4,18.591172,73.742516,0.031
GNSS_00071,212/1,18.59085,73.7429477,0.024
GNSS_00072,212/1,18.5908598,73.743133,0.024
GNSS_00073,212/1,18.5908395,73.7433048,0.03
GNSS_00074,212/1,18.5910039,73.7433012,0.019
GNSS_00075,212/1,18.5911599,73.7433133,0.027
GNSS_00076,212/1,18.5911713,73.7429447,0.036
GNSS_00077,213/2,18.5908476,73.7433821,0.026
GNSS_00078,213/2,18.5908339,73.7435611,0.044
GNSS_00079,213/2,18.5908407,73.7437371,0.029
GNSS_00080,213/2,18.5910056,73.7437458,0.041
GNSS_00081,213/2,18.5911493,73.7437284,0.031
GNSS_00082,213/2,18.5911674,73.7433703,0.038
GNSS_00083,214/3,18.5908494,73.7438057,0.034
GNSS_00084,214/3,18.5908269,73.7439856,0.038
GNSS_00085,214/3,18.5908397,73.7441559,0.021
GNSS_00086,214/3,18.5909943,73.7441494,0.04
GNSS_00087,214/3,18.5911539,73.7441644,0.044
GNSS_00088,214/3,18.5911614,73.7437955,0.021
GNSS_00089,215/4,18.5908538,73.7442256,0.036
GNSS_00090,215/4,18.5908246,73.7444028,0.02
GNSS_00091,215/4,18.5908431,73.7445945,0.035
GNSS_00092,215/4,18.590997,73.744595,0.018
GNSS_00093,215/4,18.5911576,73.7445919,0.029
GNSS_00094,215/4,18.5911687,73.7442332,0.031
GNSS_00095,216/1,18.590846,73.7446588,0.042
GNSS_00096,216/1,18.5908289,73.7448396,0.025
