survey_no,subdivision_no,owner_ref,area,land_use,status
200,1,IND-MH-PN-1000,1270.8,Mixed Use,Active
201,2,IND-MH-PN-1001,1361.2,Industrial,Active
184,2,IND-MH-PN-1002,1520.0,Institutional,Active
203,4,IND-MH-PN-1003,1323.2,Agricultural,Active
204,1,IND-MH-PN-1004,1353.6,Agricultural,Active
205,2,IND-MH-PN-1005,1396.3,Agricultural,Active
206,3,IND-MH-PN-1006,1253.8,Commercial,Active
207,4,IND-MH-PN-1007,1334.9,Agricultural,Active
208,1,IND-MH-PN-1008,1312.6,Agricultural,Active
209,2,IND-MH-PN-1009,1354.2,Institutional,Active
210,3,IND-MH-PN-1010,1306.9,Commercial,Active
211,4,IND-MH-PN-1011,1315.4,Institutional,Active
212,1,IND-MH-PN-1012,1316.5,Residential,Active
213,2,IND-MH-PN-1013,1355.5,Mixed Use,Active
214,3,IND-MH-PN-1014,1334.2,Residential,Active
215,4,IND-MH-PN-1015,1395.9,Residential,Active
216,1,IND-MH-PN-1016,1375.5,Mixed Use,Active
217,2,IND-MH-PN-1017,1259.4,Agricultural,Active
218,3,IND-MH-PN-1018,1331.0,Institutional,Active
219,4,IND-MH-PN-1019,1322.1,Industrial,Active
220,1,IND-MH-PN-1020,1483.5,Agricultural,Active
221,2,IND-MH-PN-1021,1312.3,Mixed Use,Active
222,3,IND-MH-PN-1022,1280.7,Mixed Use,Active
223,4,IND-MH-PN-1023,1292.7,Agricultural,Active
224,1,IND-MH-PN-1024,1264.6,Institutional,Active
225,2,IND-MH-PN-1025,1321.2,Industrial,Active
226,3,IND-MH-PN-1026,1380.0,Agricultural,Active
227,4,IND-MH-PN-1027,1278.7,Commercial,Active
228,1,IND-MH-PN-1028,1359.0,Industrial,Active
229,2,IND-MH-PN-1029,1277.2,Commercial,Active
230,3,IND-MH-PN-1030,1327.9,Mixed Use,Active
231,4,IND-MH-PN-1031,1309.0,Industrial,Active
232,1,IND-MH-PN-1032,1300.9,Agricultural,Active
233,2,IND-MH-PN-1033,1326.7,Residential,Active
234,3,IND-MH-PN-1034,1336.9,Mixed Use,Active
235,4,IND-MH-PN-1035,1248.8,Residential,Active
236,1,IND-MH-PN-1036,1216.6,Agricultural,Active
237,2,IND-MH-PN-1037,1242.2,Mixed Use,Active
238,3,IND-MH-PN-1038,1309.3,Mixed Use,Active
239,4,IND-MH-PN-1039,1243.6,Industrial,Active
240,1,IND-MH-PN-1040,1279.6,Agricultural,Active
241,2,IND-MH-PN-1041,1263.1,Agricultural,Active
242,3,IND-MH-PN-1042,1286.4,Commercial,Active
243,4,IND-MH-PN-1043,1283.8,Residential,Active
244,1,IND-MH-PN-1044,1317.8,Industrial,Active
245,2,IND-MH-PN-1045,1307.6,Residential,Active
246,3,IND-MH-PN-1046,1291.3,Commercial,Active
247,4,IND-MH-PN-1047,1286.2,Industrial,Active
248,1,IND-MH-PN-1048,1327.4,Institutional,Active
