epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58503,1.9946,4.74669,3.79706,0.99384,0,0.025,1,0.08201,0.05622,0.01,0.4,0.01033,0.00178,1.11436,6.19373,3.56722,0.81993,0,0.0001,0.0001,0.0981
2,12.7036,1.46038,1.88481,3.0895,0.82076,0,0.025,1,0.07073,0.04986,0,0,0,0,1.055,27.269,3.38731,0.79521,0,0.0002335,0.0002335,0.0952335
3,18.4049,1.33255,1.45972,2.25031,0.84194,0,0.025,1,0.995,0.64258,0,0,0,0,1.18664,58.1641,3.32821,0.80223,0,0.0003472,0.0003472,0.0923472
4,24.1955,1.47953,1.61555,1.52809,0.84581,0,0.025,1,0.995,0.66926,0,0,0,0,1.15469,76.2176,3.24241,0.79592,0,0.0004411,0.0004411,0.0894411
5,29.9485,1.29249,1.30111,1.43802,0.87377,0,0.025,1,0.98688,0.62864,0,0,0,0,1.20419,81.7137,3.16024,0.79726,0,0.0005152,0.0005152,0.0865152
6,35.7427,1.15716,1.43364,1.49824,0.82022,0,0.025,1,0.98688,0.55933,0,0,0,0,1.3797,77.8876,3.0713,0.81941,0,0.0005695,0.0005695,0.0835695
7,42.4414,1.24961,1.52528,1.63434,0.86394,0,0.025,1,0.995,0.55508,0,0,0,0,1.46637,53.8001,2.96513,0.82754,0,0.000604,0.000604,0.080604
8,48.1824,1.41067,1.78244,1.35064,0.88423,0,0.025,1,0.995,0.63923,0,0,0,0,1.27246,41.0079,2.87981,0.80479,0,0.0006187,0.0006187,0.0776187
9,53.8124,1.16588,1.29062,1.07827,0.84981,0,0.025,1,0.995,0.63923,0,0,0,0,1.27246,41.0079,2.87981,0.80479,0,0.0006136,0.0006136,0.0746136
10,59.3811,1.27787,1.6442,1.36274,0.83394,0,0.025,1,0.995,0.67802,0.005,0.2,0.00424,0.00042,1.14216,29.1182,2.76948,0.79352,0,0.0005887,0.0005887,0.0715887
11,64.687,1.13509,1.56523,1.0654,0.80443,0,0.025,1,0.995,0.67802,0.005,0.2,0.00424,0.00042,1.14216,29.1182,2.76948,0.79352,0,0.000544,0.000544,0.068544
12,70.2663,1.23979,1.32491,1.0936,0.82918,0,0.025,1,0.995,0.69448,0.01,0.4,0.0181,0.00312,1.0563,19.0456,2.70325,0.78946,0,0.0004795,0.0004795,0.0654795
13,75.6409,1.10269,1.29679,1.08571,0.84302,0,0.025,1,0.995,0.69448,0.01,0.4,0.0181,0.00312,1.0563,19.0456,2.70325,0.78946,0,0.0003952,0.0003952,0.0623952
14,81.1203,1.26681,1.52251,1.08174,0.81303,0,0.03513,1,0.995,0.71382,0.02342,0.66667,0.20813,0.02874,0.99125,10.4742,2.61718,0.78206,0,0.0002911,0.0002911,0.0592911
15,86.5716,1.01729,0.9879,1.03931,0.84316,0,0.03513,1,0.995,0.71382,0.02342,0.66667,0.20813,0.02874,0.99125,10.4742,2.61718,0.78206,0,0.0001672,0.0001672,0.0561672
